Time,1,2,3
122.620376,-5741.906851,-36875.085458,-29529.408160
122.624404,-5740.333288,-36873.178109,-29527.214709
122.628432,-5738.950460,-36873.273477,-29527.786914
122.632460,-5741.382330,-36874.751672,-29528.931323
122.636488,-5742.240637,-36875.276193,-29530.600253
122.640516,-5741.191595,-36875.705347,-29531.172458
122.644544,-5740.905492,-36876.706705,-29533.365909
122.648572,-5740.953176,-36874.799356,-29533.604328
122.652600,-5739.331930,-36871.986016,-29531.696979
122.656628,-5739.713399,-36870.841607,-29530.314151
122.660656,-5739.761083,-36871.175393,-29530.123416
122.664684,-5741.382330,-36870.030984,-29529.312793
122.668712,-5741.716116,-36871.986016,-29529.122058
122.672740,-5742.336004,-36874.131784,-29530.266467
122.676768,-5743.575781,-36875.466928,-29530.075732
122.680796,-5743.814199,-36874.799356,-29530.266467
122.684824,-5742.240637,-36876.325235,-29530.504886
122.688852,-5743.671148,-36875.991449,-29530.981723
122.692880,-5743.861883,-36873.941049,-29532.412235
122.696908,-5742.097585,-36872.462853,-29534.176533
122.700936,-5741.239278,-36874.513254,-29535.416309
122.704964,-5742.240637,-36873.750314,-29536.083881
122.708992,-5741.430013,-36872.415170,-29537.371342
122.713020,-5740.857809,-36873.082742,-29538.277333
122.717048,-5741.763799,-36875.371560,-29539.707844
122.721076,-5742.765158,-36873.988733,-29539.946263
122.725104,-5742.431372,-36873.511895,-29540.470784
122.729132,-5743.146627,-36874.370202,-29540.756886
122.733160,-5743.861883,-36875.371560,-29541.901295
122.737188,-5743.480413,-36875.800714,-29543.236440
122.741216,-5743.146627,-36876.372919,-29546.288198
122.745244,-5744.052618,-36876.086816,-29549.435323
122.749272,-5743.861883,-36874.322519,-29551.628775
122.753300,-5745.626181,-36873.941049,-29553.536123
122.757328,-5747.914999,-36874.703988,-29555.157370
122.761356,-5748.058051,-36875.180826,-29555.729575
122.765384,-5748.153418,-36877.421961,-29555.634207
122.769412,-5749.488562,-36880.616770,-29556.063361
122.773440,-5747.771948,-36879.472361,-29555.062003
122.777468,-5745.530813,-36875.896081,-29554.346747
122.781496,-5745.959967,-36874.560937,-29553.774542
122.785524,-5746.579855,-36873.082742,-29554.203696
122.789552,-5745.816916,-36872.558221,-29553.345389
122.793580,-5746.627539,-36873.273477,-29553.583807
122.797608,-5747.581213,-36873.464212,-29553.488440
122.801636,-5749.011725,-36874.894723,-29554.632849
122.805664,-5751.586646,-36876.992807,-29556.444830
122.809692,-5753.446311,-36877.565012,-29558.542914
122.813720,-5753.589362,-36878.089533,-29558.352179
122.817748,-5753.398627,-36878.852472,-29558.352179
122.821776,-5752.301902,-36877.612695,-29557.875342
122.825804,-5749.393195,-36874.894723,-29554.966635
